Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Country,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,Delivery Status
ORD1035,2020-02-05,2020-02-07,Second Class,CUST5035,Robert Brown,Consumer,Central,Germany,Technology,Chairs,Standing Desk,3,0.42,220.09,74.84,Early
ORD1036,2020-02-06,2020-02-10,Standard Class,CUST5036,Alice Smith,Consumer,South,USA,Technology,Tables,USB Drive,2,0.17,176.45,71.3,Early
ORD1037,2020-02-07,2020-02-16,First Class,CUST5037,Alice Smith,Consumer,East,UK,Office Supplies,Tables,Office Chair,6,0.11,208.18,93.31,Delayed
ORD1038,2020-02-08,2020-02-10,First Class,CUST5038,Robert Brown,Corporate,South,USA,Technology,Accessories,Office Chair,6,0.27,399.79,173.02,Delayed
ORD1039,2020-02-09,2020-02-18,Second Class,CUST5039,John Doe,Home Office,West,Canada,Office Supplies,Accessories,Notebook Binder,3,0.07,119.45,-33.22,Delayed
ORD1040,2020-02-10,2020-02-15,Standard Class,CUST5040,John Doe,Home Office,East,Germany,Technology,Accessories,Notebook Binder,9,0.4,240.51,116.04,Delayed
ORD1041,2020-02-11,2020-02-13,First Class,CUST5041,Alice Smith,Consumer,South,Germany,Furniture,Accessories,Standing Desk,1,0.34,19.8,0.07,Early
ORD1042,2020-02-12,2020-02-16,Second Class,CUST5042,Robert Brown,Consumer,East,Mexico,Office Supplies,Phones,USB Drive,3,0.39,258.76,105.8,Delayed
ORD1043,2020-02-13,2020-02-20,Second Class,CUST5043,Emma Johnson,Home Office,Central,Canada,Furniture,Binders,Office Chair,1,0.2,64.73,3.41,Early
ORD1044,2020-02-14,2020-02-22,Standard Class,CUST5044,Alice Smith,Corporate,South,UK,Technology,Accessories,Standing Desk,7,0.42,148.3,,Early
ORD1045,2020-02-15,2020-02-18,Same Day,CUST5045,Emma Johnson,Home Office,West,Mexico,Office Supplies,Chairs,USB Drive,2,0.25,169.19,-49.24,Delayed
ORD1046,2020-02-16,2020-02-17,Second Class,CUST5046,Alice Smith,Consumer,West,Canada,Technology,Tables,Standing Desk,4,0.05,50.35,-12.99,Early
ORD1047,2020-02-17,2020-02-21,Same Day,CUST5047,Alice Smith,Consumer,East,Mexico,Office Supplies,Storage,Office Chair,4,0.11,186.68,44.25,Delayed
ORD1048,2020-02-18,2020-02-20,Same Day,CUST5048,Robert Brown,Corporate,Central,USA,Technology,Accessories,Notebook Binder,8,0.36,254.05,114.35,Early
ORD1049,2020-02-19,2020-02-27,First Class,CUST5049,Robert Brown,Home Office,South,Canada,Furniture,Chairs,Notebook Binder,4,0.45,221.24,-26.65,Delayed
ORD1050,2020-02-20,2020-02-24,Same Day,CUST5050,Emma Johnson,Corporate,Central,UK,Furniture,Phones,Notebook Binder,3,0.05,147.41,-33.15,Delayed
ORD1051,2020-02-21,2020-02-23,Standard Class,CUST5051,Emma Johnson,Corporate,Central,UK,Technology,Chairs,Smartphone,3,0.43,154.48,-19.91,On Time
ORD1052,2020-02-22,2020-02-28,First Class,CUST5052,John Doe,Consumer,East,Canada,Furniture,Storage,Standing Desk,5,0.4,320.46,-41.71,On Time
ORD1053,2020-02-23,2020-02-29,First Class,CUST5053,Robert Brown,Home Office,East,Mexico,Furniture,Storage,Office Chair,6,0.18,362.01,-23.71,Delayed
ORD1054,2020-02-24,2020-02-28,First Class,CUST5054,Alice Smith,Consumer,South,Germany,Technology,Chairs,Standing Desk,7,0.34,292.5,-65.58,On Time
ORD1055,2020-02-25,2020-03-02,Second Class,CUST5055,Alice Smith,Home Office,West,Canada,Office Supplies,Phones,Notebook Binder,5,0.09,488.33,-54.49,Early
ORD1056,2020-02-26,2020-02-28,Second Class,CUST5056,John Doe,Consumer,South,UK,Technology,Storage,Standing Desk,7,0.41,472.99,206.71,Delayed
ORD1057,2020-02-27,2020-02-29,Same Day,CUST5057,Robert Brown,Consumer,Central,USA,Office Supplies,Phones,USB Drive,4,0.33,58.25,24.01,Delayed
ORD1058,2020-02-28,2020-03-03,First Class,CUST5058,Alice Smith,Home Office,East,UK,Furniture,Tables,Standing Desk,5,0.22,138.07,-6.48,Delayed
ORD1059,2020-02-29,2020-03-08,First Class,CUST5059,John Doe,Home Office,Central,Germany,Furniture,Accessories,Smartphone,6,0.43,435.51,216.67,On Time
ORD1060,2020-03-01,2020-03-08,Standard Class,CUST5060,John Doe,Consumer,East,UK,Furniture,Storage,Smartphone,9,0.07,24.54,-1.5,On Time
ORD1061,2020-03-02,2020-03-11,Same Day,CUST5061,Alice Smith,Home Office,West,Germany,Furniture,Chairs,Notebook Binder,6,0.42,300.18,83.29,Early
ORD1062,2020-03-03,2020-03-11,Standard Class,CUST5062,Alice Smith,Consumer,Central,Canada,Furniture,Binders,Office Chair,1,0.01,477.7,102.8,On Time
ORD1063,2020-03-04,2020-03-09,Same Day,CUST5063,Emma Johnson,Home Office,East,UK,Office Supplies,Binders,USB Drive,7,0.38,,-85.08,On Time
ORD1064,2020-03-05,2020-03-07,Same Day,CUST5064,Robert Brown,Consumer,South,Mexico,Office Supplies,Tables,Office Chair,3,0.29,55.05,-1.44,Early
ORD1065,2020-03-06,2020-03-11,Second Class,CUST5065,Emma Johnson,Consumer,South,Mexico,Office Supplies,Binders,Office Chair,6,0.35,376.43,173.61,Delayed
ORD1066,2020-03-07,2020-03-15,Second Class,CUST5066,John Doe,Consumer,South,UK,Technology,Tables,USB Drive,2,0.21,194.48,-50.43,Delayed
ORD1067,2020-03-08,2020-03-17,Standard Class,CUST5067,Alice Smith,Corporate,Central,UK,Furniture,Accessories,Smartphone,7,0.43,461.55,-73.89,Early
ORD1068,2020-03-09,2020-03-18,Same Day,CUST5068,Emma Johnson,Home Office,East,USA,Furniture,Tables,Notebook Binder,1,0.16,-150.29,71.65,On Time
ORD1069,2020-03-10,2020-03-11,First Class,CUST5069,John Doe,Consumer,East,UK,Furniture,Phones,Standing Desk,2,0.14,241.88,-64.86,Early
ORD1070,2020-03-11,2020-03-20,Second Class,CUST5070,Robert Brown,Corporate,East,USA,Technology,Phones,Smartphone,9,0.15,375.84,21.53,Early
ORD1071,2020-03-12,2020-03-19,First Class,CUST5071,Alice Smith,Consumer,Central,USA,Technology,Phones,Notebook Binder,9,0.39,,59.2,Delayed
ORD1072,2020-03-13,2020-03-22,Standard Class,CUST5072,Emma Johnson,Corporate,East,USA,Technology,Storage,Smartphone,7,0.25,99.07,45.07,On Time
ORD1073,2020-03-14,2020-03-22,Second Class,CUST5073,Robert Brown,Consumer,West,USA,Furniture,Phones,USB Drive,2,0.27,11.33,5.48,Delayed
ORD1074,2020-03-15,2020-03-16,Second Class,CUST5074,Emma Johnson,Consumer,Central,Canada,Office Supplies,Phones,Office Chair,5,0.42,249.1,21.19,Delayed
ORD1075,2020-03-16,2020-03-24,Same Day,CUST5075,John Doe,Corporate,West,Mexico,Technology,Phones,USB Drive,4,0.42,465.02,-107.33,Early
ORD1076,2020-03-17,2020-03-25,Standard Class,CUST5076,Robert Brown,Corporate,West,USA,Technology,Phones,Standing Desk,2,0.08,147.93,47.07,Delayed
ORD1077,2020-03-18,2020-03-21,Same Day,CUST5077,Emma Johnson,Home Office,South,Mexico,Office Supplies,Storage,USB Drive,2,0.27,31.26,8.35,Delayed
ORD1078,2020-03-19,2020-03-20,Second Class,CUST5078,Robert Brown,Home Office,Central,USA,Technology,Phones,Office Chair,8,0.06,314.01,51.4,Delayed
ORD1079,2020-03-20,2020-03-28,Standard Class,CUST5079,John Doe,Corporate,East,Mexico,Office Supplies,Phones,Smartphone,5,0.43,37.52,15.41,On Time
ORD1080,2020-03-21,2020-03-24,Second Class,CUST5080,Robert Brown,Home Office,West,UK,Furniture,Accessories,Notebook Binder,8,0.42,258.39,110.92,On Time
ORD1081,2020-03-22,2020-03-25,Standard Class,CUST5081,Emma Johnson,Corporate,Central,UK,Office Supplies,Storage,Standing Desk,2,0.42,196.95,48.57,Delayed
ORD1082,2020-03-23,2020-03-24,Second Class,CUST5082,John Doe,Home Office,East,Mexico,Office Supplies,Phones,Smartphone,2,0.35,242.96,-51.1,Early
ORD1083,2020-03-24,2020-03-29,First Class,CUST5083,Alice Smith,Consumer,South,USA,Furniture,Tables,Notebook Binder,3,0.23,89.69,-20.05,Early
ORD1084,2020-03-25,2020-04-01,First Class,CUST5084,Emma Johnson,Home Office,Central,Canada,Technology,Accessories,Office Chair,8,0.2,54.2,1.46,Delayed
ORD1085,2020-03-26,2020-04-04,Same Day,CUST5085,Emma Johnson,Consumer,Central,Mexico,Furniture,Storage,USB Drive,8,0.2,377.01,-24.82,On Time
ORD1086,2020-03-27,2020-04-03,First Class,CUST5086,John Doe,Consumer,Central,Germany,Technology,Binders,Smartphone,3,0.03,130.38,-25.24,Early
ORD1087,2020-03-28,2020-04-06,Second Class,CUST5087,John Doe,Home Office,East,Canada,Technology,Chairs,Notebook Binder,1,0.47,402.21,76.0,Early
ORD1088,2020-03-29,2020-04-06,Second Class,CUST5088,Alice Smith,Corporate,West,Germany,Office Supplies,Storage,Notebook Binder,7,0.23,381.64,94.2,On Time
ORD1089,2020-03-30,2020-04-01,First Class,CUST5089,Emma Johnson,Consumer,West,Mexico,Furniture,Accessories,USB Drive,4,0.47,107.21,27.7,On Time
ORD1090,2020-03-31,2020-04-01,Same Day,CUST5090,John Doe,Consumer,Central,USA,Office Supplies,Phones,Smartphone,3,0.44,455.06,-72.71,Early
ORD1091,2020-04-01,2020-04-08,First Class,CUST5091,Alice Smith,Home Office,Central,Germany,Furniture,Accessories,Smartphone,5,0.41,89.03,-4.93,Delayed
ORD1092,2020-04-02,2020-04-09,Standard Class,CUST5092,,Corporate,East,Mexico,Furniture,Chairs,Office Chair,6,0.29,400.6,-56.39,Early
ORD1093,2020-04-03,2020-04-11,Standard Class,CUST5093,John Doe,Corporate,South,Canada,Office Supplies,Chairs,Smartphone,1,0.05,216.06,39.12,On Time
ORD1094,2020-04-04,2020-04-09,Standard Class,CUST5094,Emma Johnson,Home Office,Central,USA,Technology,Storage,USB Drive,9,0.16,99.68,15.32,On Time
ORD1095,2020-04-05,2020-04-08,First Class,CUST5095,Robert Brown,Corporate,Central,Germany,Technology,Phones,Smartphone,6,0.3,469.67,48.21,On Time
ORD1096,2020-04-06,2020-04-14,First Class,CUST5096,Robert Brown,Home Office,South,Mexico,Furniture,Phones,Office Chair,3,0.01,482.0,-30.44,On Time
ORD1097,2020-04-07,2020-04-13,First Class,CUST5097,Alice Smith,Home Office,Central,USA,Technology,Tables,Notebook Binder,1,0.02,260.57,-28.76,Delayed
ORD1098,2020-04-08,2020-04-11,Standard Class,CUST5098,Robert Brown,Home Office,West,USA,Office Supplies,Chairs,Smartphone,9,0.34,239.9,98.92,Early
ORD1099,2020-04-09,2020-04-10,Same Day,CUST5099,Robert Brown,Consumer,Central,UK,Office Supplies,Phones,USB Drive,2,0.44,451.41,-117.78,On Time
ORD1100,2020-04-10,2020-04-13,Second Class,CUST5100,John Doe,Consumer,West,USA,Office Supplies,Chairs,Smartphone,6,0.43,302.11,68.01,On Time
ORD1101,2020-04-11,2020-04-16,First Class,CUST5101,Alice Smith,Consumer,East,Mexico,Furniture,Tables,Standing Desk,6,0.08,140.36,-39.91,On Time
ORD1102,2020-04-12,2020-04-15,Same Day,CUST5102,Emma Johnson,Home Office,East,Canada,Furniture,Binders,Office Chair,3,0.46,218.35,-31.65,Early
ORD1103,2020-04-13,2020-04-14,Second Class,CUST5103,Alice Smith,Consumer,West,UK,Technology,Chairs,Notebook Binder,6,0.35,419.63,-28.71,On Time
ORD1104,2020-04-14,2020-04-19,Second Class,CUST5104,John Doe,Consumer,West,Mexico,Office Supplies,Tables,Standing Desk,2,0.36,,176.44,Early
ORD1105,2020-04-15,2020-04-22,Second Class,CUST5105,Robert Brown,Consumer,South,Mexico,Office Supplies,Tables,USB Drive,8,0.15,470.23,-89.26,Delayed
ORD1106,2020-04-16,2020-04-23,Same Day,CUST5106,Emma Johnson,Home Office,West,Mexico,Furniture,Tables,Smartphone,1,0.36,151.25,68.1,On Time
ORD1107,2020-04-17,2020-04-26,Same Day,CUST5107,Alice Smith,Home Office,West,Germany,Furniture,Accessories,Office Chair,6,0.35,343.18,120.92,Delayed
ORD1108,2020-04-18,2020-04-21,Standard Class,CUST5108,Robert Brown,Home Office,Central,Germany,Furniture,Storage,Smartphone,1,0.3,43.51,10.58,Early
ORD1109,2020-04-19,2020-04-26,Same Day,CUST5109,Alice Smith,Consumer,South,Canada,Office Supplies,Phones,Smartphone,9,0.18,365.69,10.75,Delayed
ORD1110,2020-04-20,2020-04-21,Same Day,CUST5110,Emma Johnson,Corporate,West,Mexico,Office Supplies,Chairs,Smartphone,9,0.41,285.97,121.31,On Time
ORD1111,2020-04-21,2020-04-25,Same Day,CUST5111,Alice Smith,Consumer,West,Germany,Technology,Storage,Smartphone,6,0.47,132.39,16.2,Delayed
ORD1112,2020-04-22,2020-04-26,Second Class,CUST5112,Alice Smith,Consumer,West,Germany,Office Supplies,Accessories,Office Chair,6,0.43,330.77,-1.0,Delayed
ORD1113,2020-04-23,2020-04-28,First Class,CUST5113,Alice Smith,Home Office,Central,Germany,Technology,Chairs,Standing Desk,9,0.12,76.24,12.85,Delayed
ORD1114,2020-04-24,2020-05-01,Standard Class,CUST5114,Robert Brown,Home Office,Central,Canada,Technology,Storage,USB Drive,5,0.22,173.57,-19.82,Delayed
ORD1115,2020-04-25,2020-05-02,First Class,CUST5115,Emma Johnson,Consumer,Central,Canada,Office Supplies,Accessories,Standing Desk,9,0.17,206.45,-16.87,Delayed
ORD1116,2020-04-26,2020-04-30,First Class,CUST5116,Emma Johnson,Consumer,East,Mexico,Technology,Phones,Office Chair,5,0.35,390.8,170.17,Early
ORD1117,2020-04-27,2020-05-04,Same Day,CUST5117,Robert Brown,Corporate,Central,UK,Technology,Tables,USB Drive,4,0.42,161.3,54.06,Early
ORD1118,2020-04-28,2020-05-01,Standard Class,CUST5118,Robert Brown,Corporate,West,Mexico,Furniture,Storage,Notebook Binder,2,0.11,34.03,3.77,On Time
ORD1119,2020-04-29,2020-05-05,First Class,CUST5119,Robert Brown,Home Office,Central,Germany,Office Supplies,Storage,Standing Desk,2,0.47,98.56,3.28,Early
ORD1120,2020-04-30,2020-05-02,First Class,CUST5120,John Doe,Corporate,Central,Germany,Technology,Chairs,Office Chair,1,0.34,307.97,106.57,Early
ORD1121,2020-05-01,2020-05-10,Standard Class,CUST5121,Alice Smith,Corporate,South,USA,Technology,Tables,Office Chair,3,0.11,17.47,2.73,On Time
ORD1122,2020-05-02,2020-05-07,Same Day,CUST5122,Alice Smith,Home Office,West,Mexico,Technology,Phones,Office Chair,1,0.19,398.19,12.75,Early
ORD1123,2020-05-03,2020-05-09,First Class,CUST5123,Emma Johnson,Corporate,Central,Germany,Office Supplies,Chairs,USB Drive,6,0.05,451.55,50.74,On Time
ORD1124,2020-05-04,2020-05-08,Second Class,CUST5124,Alice Smith,Consumer,East,Germany,Furniture,Binders,Smartphone,7,0.3,252.74,-28.77,On Time
ORD1125,2020-05-05,2020-05-12,First Class,CUST5125,John Doe,Corporate,South,UK,Furniture,Binders,Notebook Binder,9,0.08,356.74,-49.38,Early
ORD1126,2020-05-06,2020-05-15,Second Class,CUST5126,Robert Brown,Home Office,Central,USA,Office Supplies,Binders,USB Drive,7,0.35,236.71,116.29,Delayed
ORD1127,2020-05-07,2020-05-14,Same Day,CUST5127,Emma Johnson,Consumer,South,Mexico,Office Supplies,Phones,USB Drive,4,0.37,161.29,76.72,On Time
ORD1128,2020-05-08,2020-05-09,First Class,CUST5128,,Corporate,South,Canada,Office Supplies,Binders,Standing Desk,4,0.24,90.78,3.33,Delayed
ORD1129,2020-05-09,2020-05-10,Standard Class,CUST5129,Alice Smith,Consumer,East,Mexico,Office Supplies,Storage,Notebook Binder,8,0.05,263.9,29.61,On Time
ORD1130,2020-05-10,2020-05-19,Standard Class,CUST5130,Emma Johnson,Consumer,East,Mexico,Furniture,Chairs,Office Chair,4,0.31,465.65,168.45,Early
ORD1131,2020-05-11,2020-05-20,First Class,CUST5131,Robert Brown,Corporate,East,UK,Technology,Storage,USB Drive,1,0.19,446.09,125.2,Delayed
ORD1132,2020-05-12,2020-05-16,Same Day,CUST5132,Emma Johnson,Corporate,West,Mexico,Technology,Binders,Notebook Binder,9,0.47,460.62,-101.5,On Time
ORD1133,2020-05-13,2020-05-22,Same Day,CUST5133,Robert Brown,Home Office,South,UK,Office Supplies,Chairs,Standing Desk,3,0.26,483.54,-0.15,Early
ORD1134,2020-05-14,2020-05-17,Standard Class,CUST5134,John Doe,Home Office,Central,UK,Office Supplies,Storage,Smartphone,1,0.04,91.03,-9.09,Delayed
ORD1135,2020-05-15,2020-05-22,First Class,CUST5135,John Doe,Consumer,East,Germany,Technology,Phones,Notebook Binder,9,0.32,81.8,40.42,Early
ORD1136,2020-05-16,2020-05-22,Same Day,CUST5136,Robert Brown,Home Office,East,Canada,Furniture,Tables,Office Chair,5,0.39,219.6,65.65,Early
ORD1137,2020-05-17,2020-05-25,Standard Class,CUST5137,Alice Smith,Consumer,South,UK,Office Supplies,Storage,USB Drive,9,0.08,347.76,-91.04,Delayed
ORD1138,2020-05-18,2020-05-27,Second Class,CUST5138,Emma Johnson,Consumer,South,USA,Office Supplies,Accessories,Smartphone,3,0.22,225.45,94.7,On Time
ORD1139,2020-05-19,2020-05-24,First Class,CUST5139,Alice Smith,Home Office,South,USA,Furniture,Binders,Standing Desk,6,0.37,447.25,197.85,On Time
ORD1140,2020-05-20,2020-05-21,Second Class,CUST5140,Emma Johnson,Home Office,Central,Canada,Furniture,Accessories,Office Chair,7,0.01,361.52,-12.07,Early
ORD1141,2020-05-21,2020-05-24,Second Class,CUST5141,John Doe,Home Office,West,UK,Furniture,Tables,Smartphone,5,0.01,320.65,68.49,On Time
ORD1142,2020-05-22,2020-05-30,Same Day,CUST5142,John Doe,Corporate,West,Canada,Office Supplies,Phones,Standing Desk,8,0.34,44.81,11.01,Delayed
ORD1143,2020-05-23,2020-05-29,Same Day,CUST5143,John Doe,Consumer,East,Germany,Furniture,Storage,Office Chair,6,0.36,95.91,27.2,Delayed
ORD1144,2020-05-24,2020-06-01,Same Day,CUST5144,Emma Johnson,Consumer,West,USA,Office Supplies,Phones,USB Drive,6,0.42,219.8,56.01,Early
ORD1145,2020-05-25,2020-06-03,First Class,CUST5145,John Doe,Consumer,Central,Mexico,Office Supplies,Tables,Standing Desk,7,0.2,488.42,72.18,Early
ORD1146,2020-05-26,2020-05-30,Second Class,CUST5146,John Doe,Home Office,West,USA,Furniture,Accessories,Smartphone,8,0.19,173.86,80.51,Delayed
ORD1147,2020-05-27,2020-05-28,First Class,CUST5147,John Doe,Home Office,Central,UK,Technology,Storage,Office Chair,2,0.28,318.69,35.02,Delayed
ORD1148,2020-05-28,2020-05-29,Same Day,CUST5148,John Doe,Home Office,East,Canada,Furniture,Binders,Notebook Binder,7,0.38,494.56,-104.49,Early
ORD1149,2020-05-29,2020-06-02,Second Class,CUST5149,Alice Smith,Home Office,South,USA,Technology,Chairs,Office Chair,9,0.32,-139.37,-32.84,Early
ORD1150,2020-05-30,2020-06-06,First Class,CUST5150,John Doe,Home Office,Central,Mexico,Furniture,Phones,Smartphone,1,0.16,91.67,-26.15,Delayed
ORD1151,2020-05-31,2020-06-02,First Class,CUST5151,John Doe,Corporate,South,Mexico,Furniture,Tables,Smartphone,1,0.17,277.7,11.76,Early
ORD1152,2020-06-01,2020-06-04,Standard Class,CUST5152,Alice Smith,Home Office,East,Canada,Office Supplies,Storage,Notebook Binder,7,0.38,280.43,-22.83,On Time
ORD1153,2020-06-02,2020-06-03,First Class,CUST5153,Alice Smith,Consumer,Central,Canada,Office Supplies,Accessories,Smartphone,5,0.27,461.72,192.16,Delayed
ORD1154,2020-06-03,2020-06-08,Same Day,CUST5154,Emma Johnson,Home Office,Central,USA,Office Supplies,Binders,Office Chair,1,0.05,22.95,9.04,Delayed
ORD1155,2020-06-04,2020-06-05,First Class,CUST5155,Robert Brown,Consumer,West,UK,Office Supplies,Accessories,Standing Desk,1,0.08,209.62,77.62,Early
ORD1156,2020-06-05,2020-06-13,Second Class,CUST5156,John Doe,Home Office,Central,Germany,Office Supplies,Binders,Office Chair,2,0.43,-163.05,64.21,Early
ORD1157,2020-06-06,2020-06-07,First Class,CUST5157,John Doe,Home Office,East,Mexico,Office Supplies,Storage,Smartphone,9,0.5,289.82,-17.94,Delayed
ORD1158,2020-06-07,2020-06-08,Standard Class,CUST5158,John Doe,Consumer,South,Canada,Office Supplies,Chairs,Notebook Binder,3,0.17,14.57,0.6,Early
ORD1159,2020-06-08,2020-06-10,Second Class,CUST5159,Emma Johnson,Consumer,Central,Germany,Technology,Chairs,Notebook Binder,9,0.19,358.42,-18.14,On Time
ORD1160,2020-06-09,2020-06-11,Second Class,CUST5160,John Doe,Consumer,East,Germany,Technology,Tables,USB Drive,6,0.08,247.64,-57.24,Early
ORD1161,2020-06-10,2020-06-16,Standard Class,CUST5161,Robert Brown,Consumer,East,Germany,Office Supplies,Tables,Notebook Binder,6,0.12,353.34,155.2,Delayed
ORD1162,2020-06-11,2020-06-18,Same Day,CUST5162,Alice Smith,Corporate,Central,UK,Technology,Binders,Notebook Binder,7,0.21,229.43,44.22,Early
ORD1163,2020-06-12,2020-06-17,Second Class,CUST5163,Emma Johnson,Consumer,West,Canada,Furniture,Binders,Smartphone,8,0.14,242.35,-47.01,Delayed
ORD1164,2020-06-13,2020-06-14,Same Day,CUST5164,Alice Smith,Home Office,Central,Mexico,Technology,Binders,Standing Desk,3,0.35,448.82,-60.66,On Time
